Name,Classification,Preferred Term,URL,Related Term,Category,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,A-Z,Age,Age,Age,Age,Age,Sex,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Season,,,,Snomed Code,Confidence,Notes,Done
Lupus,L,Lupus,https://www.nhs.uk/conditions/lupus/,,Condition,Limbs,Skin,,,,,,,Skeleton,Muscles,Lung,Heart,Liver,Kidney,,,,Autoimmune illnesses,Bone Health,Skin conditions,,,,,,,,checked,All,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200936003,High,,Done
Lyme disease,L,Lyme disease,https://www.nhs.uk/conditions/lyme-disease/,,Condition,Skin,,,,,,,,Skin,,,,,,,,,Skin conditions,Rashes Bites and Stings,,,,,,,,,checked,All,,,,,,infected ticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,23502006,High,,Done
Lymphoedema,L,Lymphoedema,https://www.nhs.uk/conditions/lymphoedema/,,Condition,Arm,Leg,Limbs,,,,,,Skin,Connective tissue,Lymph nodes,,,,,,,Skin conditions,Infections Illnesses & Diseases,,,,,,,,,checked,All,,,,,,swelling in your arms and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234097001,High,,Done
Lymphoedema - Causes,L,Lymphoedema,https://www.nhs.uk/conditions/lymphoedema/causes/,,Condition,Arm,Leg,Limbs,,,,,,Skin,Connective tissue,Lymph nodes,,,,,,,Skin conditions,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,primary lymphoedema, secondary lymphoedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Lymphoedema - Diagnosis,L,Lymphoedema,https://www.nhs.uk/conditions/lymphoedema/diagnosis/,,Condition,Arm,Leg,Limbs,,,,,,Skin,Connective tissue,Lymph nodes,,,,,,,Skin conditions,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Lymphoedema - Prevention,L,Lymphoedema,https://www.nhs.uk/conditions/lymphoedema/prevention/,,Condition,Arm,Leg,Limbs,,,,,,Skin,Connective tissue,Lymph nodes,,,,,,,Skin conditions,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Lymphoedema - Treatment,L,Lymphoedema,https://www.nhs.uk/conditions/lymphoedema/treatment/,,Condition,Arm,Leg,Limbs,,,,,,Skin,Connective tissue,Lymph nodes,,,,,,,Skin conditions,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,decongestive lymphatic therapy, dlt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Macular hole,M,Macular hole,https://www.nhs.uk/conditions/macular-hole/,,Condition,Eye,,,,,,,,,,,,,,,,,Neurological Illness & Injury,,,,,,,,,,checked,,,,,,,vitrectomy surgery, ocriplasmin injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232006002,High,,Done
Magnesium test,M,Magnesium test,https://www.nhs.uk/conditions/magnesium-test/,,Treatment,,,,,,,,,Blood,Kidney,Gastrointestinal tract,,,,,,,Blood Conditions,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38151008,None,snomed code relates to magnesium measurement term,Done
Malaria,M,Malaria,https://www.nhs.uk/conditions/malaria/,,Condition,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,checked,All,,,,,,mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61462000,High,,Done
Malaria - Causes,M,Malaria,https://www.nhs.uk/conditions/malaria/causes/,,Condition,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,,All,,,,,,plasmodium parasite, female anopheles mosquito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malaria - Complications,M,Malaria,https://www.nhs.uk/conditions/malaria/complications/,,Condition,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,,All,,,,,,plasmodium falciparum parasite, cerebral malaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malaria - Prevention,M,Malaria,https://www.nhs.uk/conditions/malaria/prevention/,,Treatment,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malaria - Symptoms,M,Malaria,https://www.nhs.uk/conditions/malaria/symptoms/,,Symptom,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malaria - Antimalarials,M,Malaria,https://www.nhs.uk/conditions/malaria/treatment/,,Treatment,Skin,,,,,,,,Skin,Blood,,,,,,,,Tropical Diseases,Rashes Bites and Stings,Blood Conditions,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
The 'male menopause',M,Male menopause,https://www.nhs.uk/conditions/male-menopause/,,Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,Male,andropause, hypogonadism, testosterone deficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41982003,High,,Done
Malignant brain tumour (brain cancer),M,Malignant brain tumour (brain cancer),https://www.nhs.uk/conditions/malignant-brain-tumour/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Cancer,Neurological Illness & Injury,,,,,,,,,checked,All,,,,,,grade 3 and 4 brain tumours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254935002,High,snomed code does not indicate whether the tumour is malignant or benign,Done
Mallet finger,M,Mallet finger,https://www.nhs.uk/conditions/mallet-finger/,,Symptom,Hand,Fingers,,,,,,,Skeleton,Connective tissue,Muscles,Tendons,,,,,,Sports injuries,,,,,,,,,,checked,All,,,,,,splinted finger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64298006,High,,Done
Malnutrition,M,Malnutrition,https://www.nhs.uk/conditions/malnutrition/,,Condition,,,,,,,,,,,,,,,,,,Healthy Living,Digestive Health,,,,,,,,,checked,All,,,,,,undernutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492009,High,,Done
Malnutrition - Causes,M,Malnutrition,https://www.nhs.uk/conditions/malnutrition/causes/,,Condition,,,,,,,,,,,,,,,,,,Healthy Living,Digestive Health,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malnutrition - Symptoms,M,Malnutrition,https://www.nhs.uk/conditions/malnutrition/symptoms/,,Symptom,,,,,,,,,,,,,,,,,,Healthy Living,Digestive Health,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Malnutrition - Treatment,M,Malnutrition,https://www.nhs.uk/conditions/malnutrition/treatment/,,Treatment,,,,,,,,,,,,,,,,,,Healthy Living,Digestive Health,,,,,,,,,,All,,,,,,feeding tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Maple syrup urine disease,M,Maple syrup urine disease,https://www.nhs.uk/conditions/maple-syrup-urine-disease/,msud,Condition,,,,,,,,,Urine,Liver,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,Newborn infants,Babies,,,,,metabolic crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27718001,High,,Done
Marfan syndrome,M,Marfan syndrome,https://www.nhs.uk/conditions/marfan-syndrome/,,Condition,Limbs,,,,,,,,Connective tissue,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,connective tissue disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19346006,High,,Done
Marfan syndrome - Diagnosis,M,Marfan syndrome,https://www.nhs.uk/conditions/marfan-syndrome/diagnosis/,,Condition,Limbs,,,,,,,,Connective tissue,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,ghent criteria, chorionic villus sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Marfan syndrome - Symptoms,M,Marfan syndrome,https://www.nhs.uk/conditions/marfan-syndrome/symptoms/,,Symptom,Limbs,Eye,,,,,,,Connective tissue,Skeleton,Heart,Blood vessels,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,dural ectasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Marfan syndrome - Treatment,M,Marfan syndrome,https://www.nhs.uk/conditions/marfan-syndrome/treatment/,,Treatment,Limbs,Back,,,,,,,Connective tissue,Skeleton,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Mastectomy,M,Mastectomy,https://www.nhs.uk/conditions/mastectomy/,,Treatment,Breast,Chest,,,,,,,Lymph nodes,,,,,,,,,Infections Illnesses & Diseases,Cancer,Preventative healthcare,,,,,,,,checked,All,Adults,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69031006,High,,Done
Mastitis,M,Mastitis,https://www.nhs.uk/conditions/mastitis/,,Condition,Breast,,,,,,,,Secretions,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,Adults,,,,,Female,build-up of milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266579006,High,,Done
Mastocytosis,M,Mastocytosis,https://www.nhs.uk/conditions/mastocytosis/,,Condition,Skin,,,,,,,,Skin,Skeleton,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Allergies,,,,,,,,checked,Adults,Children,,,,,mast cells, systemic mastocytosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125541005,High,,Done
Mastocytosis - Symptoms,M,Mastocytosis,https://www.nhs.uk/conditions/mastocytosis/symptoms/,,Symptom,Skin,,,,,,,,Skin,Skeleton,,,,,,,,Infections Illnesses & Diseases,Skin conditions,,,,,,,,,,Adults,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Mastocytosis - Treatment,M,Mastocytosis,https://www.nhs.uk/conditions/mastocytosis/treatment/,,Treatment,Skin,,,,,,,,Skin,Skeleton,,,,,,,,Infections Illnesses & Diseases,Skin conditions,,,,,,,,,,Adults,Children,,,,,sodium cromoglicate, puva, cladribine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Mastoiditis,M,Mastoiditis,https://www.nhs.uk/conditions/mastoiditis/,,Condition,Ear,,,,,,,,,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,myringotomy, mastoidectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52404001,High,,Done
MCADD,M,MCADD,https://www.nhs.uk/conditions/mcadd/,,Condition,,,,,,,,,,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,Babies,,,,,medium-chain acyl-coa dehydrogenase deficiency, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21691E+14,High,,Done
Measles,M,Measles,https://www.nhs.uk/conditions/measles/,,Condition,Skin,Eye,Cheek,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Rashes Bites and Stings,,,,,,,,checked,All,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14189004,High,,Done
Measles - Complications,M,Measles,https://www.nhs.uk/conditions/measles/complications/,,Condition,Skin,,,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Rashes Bites and Stings,,,,,,,,,All,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Measles - Prevention,M,Measles,https://www.nhs.uk/conditions/measles/prevention/,,Treatment,Skin,,,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Rashes Bites and Stings,Preventative healthcare,,,,,,,,All,Children,,,,,human normal immunoglobulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Measles - Symptoms,M,Measles,https://www.nhs.uk/conditions/measles/symptoms/,,Symptom,Skin,Eye,Cheek,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Rashes Bites and Stings,,,,,,,,,All,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Measles - Treatment,M,Measles,https://www.nhs.uk/conditions/measles/treatment/,,Treatment,Skin,Eye,,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Skin conditions,Rashes Bites and Stings,,,,,,,,,All,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Medical cannabis (and cannabis oils),M,Medical cannabis (and cannabis oils),https://www.nhs.uk/conditions/medical-cannabis/,,Treatment,,,,,,,,,,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398705004,None,snomed code does not reflect the medical use of cannabis,Done
Medically unexplained symptoms,M,Medically unexplained symptoms,https://www.nhs.uk/conditions/medically-unexplained-symptoms/,,Symptom,,,,,,,,,,,,,,,,,,Pain,Neurological Illness & Injury,Healthy Living,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87761E+14,High,,Done
Medicines information,M,Medicines information,https://www.nhs.uk/conditions/medicines-information/,,Medicine,,,,,,,,,,,,,,,,,,Preventative healthcare,,,,,,,,,,checked,All,,,,,,brand name, generic name, licensed medicines, unlicensed medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no snomed code
",Done
Medicines information - Getting your medicines after Brexit transition (1 January 2021),M,Medicines information,https://www.nhs.uk/conditions/medicines-information/getting-your-medicines-after-brexit-transition/,,Medicine,,,,,,,,,,,,,,,,,,Preventative healthcare,,,,,,,,,,,All,,,,,,Brexit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Skin cancer (melanoma),M,Malignant melanoma,https://www.nhs.uk/conditions/melanoma-skin-cancer/,skin cancer,Condition,Skin,Buttocks,Scalp,,,,,,Skin,,,,,,,,,Cancer,Skin conditions,,,,,,,,,checked,All,,,,,,superficial spreading melanoma, nodular melanoma, lentigo maligna melanoma, acral lentiginous melanoma, amelanotic melanoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092003,High,,Done
Skin cancer (melanoma) - Causes,M,Malignant melanoma,https://www.nhs.uk/conditions/melanoma-skin-cancer/causes/,,Condition,Skin,,,,,,,,Skin,,,,,,,,,Cancer,Skin conditions,,,,,,,,,,All,,,,,,ultraviolet light, moles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Skin cancer (melanoma) - Diagnosis,M,Malignant melanoma,https://www.nhs.uk/conditions/melanoma-skin-cancer/diagnosis/,,Condition,Skin,,,,,,,,Skin,Lymph nodes,,,,,,,,Cancer,Skin conditions,,,,,,,,,,All,,,,,,sentinel lymph node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Skin cancer (melanoma) - Symptoms,M,Malignant melanoma,https://www.nhs.uk/conditions/melanoma-skin-cancer/symptoms/,,Symptom,Skin,Eye,,,,,,,Skin,,,,,,,,,Cancer,Skin conditions,,,,,,,,,,All,,,,,,eye melanoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Skin cancer (melanoma) - Treatment,M,Malignant melanoma,https://www.nhs.uk/conditions/melanoma-skin-cancer/treatment/,,Treatment,Skin,,,,,,,,Skin,,,,,,,,,Cancer,Skin conditions,,,,,,,,,,All,,,,,,surgical excision, stage 3 melanoma, stage 4 melanoma, immunotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Memory loss (amnesia),M,Memory loss,https://www.nhs.uk/conditions/memory-loss-amnesia/,amnesia,Symptom,,,,,,,,,Brain,,,,,,,,,Neurological Illness & Injury,,,,,,,,,,checked,All,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48167000,High,,Done
Ménière's disease,M,Ménière's disease,https://www.nhs.uk/conditions/menieres-disease/,,Condition,Ear,,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,checked,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13445001,High,,Done
Meningitis,M,Meningitis,https://www.nhs.uk/conditions/meningitis/,,Condition,Nose,,,,,,,,Brain,Spinal cord,Meninges,Throat,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,checked,All,,,,,,bacterial meningitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7180009,High,,Done
Meningitis - Causes,M,Meningitis,https://www.nhs.uk/conditions/meningitis/causes/,,Condition,,,,,,,,,Brain,Spinal cord,Meninges,,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,,All,Babies,Children,Teenagers,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Meningitis - Complications,M,Meningitis,https://www.nhs.uk/conditions/meningitis/complications/,,Condition,,,,,,,,,Brain,Spinal cord,Meninges,,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Meningitis - Symptoms,M,Meningitis,https://www.nhs.uk/conditions/meningitis/symptoms/,,Symptom,,,,,,,,,Brain,Spinal cord,Meninges,,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,meningococcal disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Meningitis - Treatment,M,Meningitis,https://www.nhs.uk/conditions/meningitis/treatment/,,Treatment,,,,,,,,,Brain,Spinal cord,Meninges,,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,viral meningitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Meningitis - Vaccination,M,Meningitis,https://www.nhs.uk/conditions/meningitis/vaccination/,,Medicine,,,,,,,,,Brain,Spinal cord,Meninges,,,,,,,Neurological Illness & Injury,Infections Illnesses & Diseases,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720537002,High,Just added this to note that every different type of meningitis vaccination has a different snomed code (the one here is meningitis B vacc),Done
Menopause,M,Menopause,https://www.nhs.uk/conditions/menopause/,,Condition,,,,,,,,,Vagina,Uterus,Fallopian tubes,,,,,,,Menopause,Periods,,,,,,,,,checked,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161712005,High,,Done
Menopause - Hot flushes,M,Menopause,https://www.nhs.uk/conditions/menopause/hot-flushes/,,Symptom,,,,,,,,,Vagina,Uterus,Fallopian tubes,,,,,,,Menopause,Periods,,,,,,,,,,Adults,,,,,Female,sudden feeling of heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Menopause - Symptoms,M,Menopause,https://www.nhs.uk/conditions/menopause/symptoms/,,Symptom,,,,,,,,,Vagina,Uterus,Fallopian tubes,,,,,,,Menopause,Periods,,,,,,,,,,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Menopause - Treatment,M,Menopause,https://www.nhs.uk/conditions/menopause/treatment/,,Treatment,,,,,,,,,Vagina,Uterus,Fallopian tubes,,,,,,,Menopause,Periods,,,,,,,,,,Adults,,,,,Female,hormone replacement therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Mesothelioma,M,Mesothelioma,https://www.nhs.uk/conditions/mesothelioma/,,Condition,,,,,,,,,Lung,Heart,Testicles,,,,,,,Cancer,Breathing and Respiratory health,,,,,,,,,checked,Adults,Older people,,,,Male,exposure to asbestos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109378008,High,,Done
Metabolic syndrome,M,Metabolic syndrome,https://www.nhs.uk/conditions/metabolic-syndrome/,,Condition,,,,,,,,,Heart,Blood,,,,,,,,Healthy Living,Blood Conditions,,,,,,,,,checked,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237602007,High,,Done
Metallic taste,M,Metallic taste,https://www.nhs.uk/conditions/metallic-taste/,,Symptom,Mouth,,,,,,,,Throat,,,,,,,,,Digestive Health,Dental,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11193009,High,,Done
Middle East respiratory syndrome (MERS),M,Middle East respiratory syndrome (MERS),https://www.nhs.uk/conditions/middle-east-respiratory-syndrome-mers/,mers-cov,Condition,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,Tropical Diseases,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E+11,High,,Done
Migraine,M,Migraine,https://www.nhs.uk/conditions/migraine/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37796009,High,,Done
Migraine - Causes,M,Migraine,https://www.nhs.uk/conditions/migraine/causes/,,Condition,Head,,,,,,,,Brain,Blood vessels,Neurotransmitters,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,,All,,,,,,migraine triggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Migraine - Complications,M,Migraine,https://www.nhs.uk/conditions/migraine/complications/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,,All,,,,,,ischaemic stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Migraine - Diagnosis,M,Migraine,https://www.nhs.uk/conditions/migraine/diagnosis/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Migraine - Prevention,M,Migraine,https://www.nhs.uk/conditions/migraine/prevention/,,Treatment,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,Preventative healthcare,Periods,,,,,,,,All,,,,,,migraine diary, botulinum toxin type a, fremanezumab, galcenezumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Migraine - Symptoms,M,Migraine,https://www.nhs.uk/conditions/migraine/symptoms/,,Symptom,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,,All,,,,,,aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Migraine - Treatment,M,Migraine,https://www.nhs.uk/conditions/migraine/treatment/,,Treatment,Head,,,,,,,,Brain,,,,,,,,,Pain,Neurological Illness & Injury,,,,,,,,,,All,,,,,,transcranial magnetic stimulation, tms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Head injury and concussion,M,Head injury and concussion,https://www.nhs.uk/conditions/minor-head-injury/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Pain,Sports injuries,Neurological Illness & Injury,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82271004,High,brain concussion snomed code = 110030002,Done
Miscarriage,M,Miscarriage,https://www.nhs.uk/conditions/miscarriage/,,Condition,Abdomen,,,,,,,,Uterus,Embryo,,,,,,,,Sexual Health,Pain,,,,,,,,,checked,Adults,,,,,Female,vaginal bleeding, abnormal chromosomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369002,High,,Done
Miscarriage - Afterwards,M,Miscarriage,https://www.nhs.uk/conditions/miscarriage/afterwards/,,Condition,Abdomen,,,,,,,,Uterus,Embryo,,,,,,,,Sexual Health,Pain,Mental Health,Periods,,,,,,,,Adults,,,,,Female,emotional impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Miscarriage - Causes,M,Miscarriage,https://www.nhs.uk/conditions/miscarriage/causes/,,Condition,Abdomen,,,,,,,,Uterus,Chromosomes,Placenta,Cervix,Ovaries,Embryo,,,,Sexual Health,Pain,,,,,,,,,,Adults,,,,,Female,recurrent miscarriages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Miscarriage - Diagnosis,M,Miscarriage,https://www.nhs.uk/conditions/miscarriage/diagnosis/,,Condition,Abdomen,,,,,,,,Uterus,Embryo,,,,,,,,Sexual Health,Pain,,,,,,,,,,Adults,,,,,Female,karyotyping, antiphospholipid antibody, delayed miscarriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
